"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: costOfWork","Param: inputSize","Param: reservoirSize"
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,244.133857,5.727239,"ops/s",0,1000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,245.534011,1.128981,"ops/s",0,1000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,244.613172,3.210157,"ops/s",0,1000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,45.374349,2.374423,"ops/s",0,5000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,45.973850,0.082505,"ops/s",0,5000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,45.966316,0.072510,"ops/s",0,5000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,67.223853,0.106791,"ops/s",10,1000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,67.405504,0.384368,"ops/s",10,1000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,67.359274,0.137572,"ops/s",10,1000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,13.517636,0.573428,"ops/s",10,5000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,14.145053,0.328015,"ops/s",10,5000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,14.254710,0.009920,"ops/s",10,5000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,5.185840,0.007515,"ops/s",100,1000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,5.188833,0.003838,"ops/s",100,1000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,5.187105,0.007671,"ops/s",100,1000000,2000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,1.037431,0.000716,"ops/s",100,5000000,500
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,1.026738,0.044758,"ops/s",100,5000000,1000
"uk.co.openkappa.reservoir.benchmarks.ReservoirSamplers.L","thrpt",1,15,1.037631,0.000918,"ops/s",100,5000000,2000
